iter	Passed	Remaining
188	304	1308
189	305	1303
190	306	1297
191	307	1292
192	307	1287
193	308	1282
194	309	1277
195	310	1272
196	311	1267
197	312	1264
198	312	1259
199	313	1254
200	314	1249
201	315	1244
202	315	1240
203	316	1235
204	317	1230
205	318	1226
206	318	1221
207	320	1219
208	321	1215
209	322	1211
210	323	1208
211	324	1207
212	325	1203
213	326	1199
214	327	1194
215	328	1190
216	328	1186
217	329	1181
218	330	1178
219	331	1174
220	332	1170
221	332	1166
222	333	1163
223	335	1160
224	336	1158
225	337	1156
226	338	1153
227	339	1149
228	340	1145
229	341	1141
230	342	1139
231	343	1137
232	344	1135
233	345	1132
234	346	1129
235	347	1125
236	348	1121
237	350	1121
238	352	1122
239	353	1119
240	354	1116
241	355	1113
242	356	1109
243	357	1107
244	358	1103
245	358	1100
246	359	1096
247	360	1092
248	361	1090
249	362	1088
250	364	1087
251	365	1085
252	366	1082
253	367	1079
254	368	1076
255	371	1078
256	372	1076
257	373	1074
258	374	1071
259	375	1069
260	377	1068
261	378	1066
262	380	1065
263	381	1064
264	382	1061
265	383	1059
266	384	1056
267	386	1054
268	387	1051
269	387	1048
270	388	1045
271	389	1042
272	390	1039
273	391	1036
274	391	1033
275	392	1029
276	393	1027
277	394	1025
278	395	1023
279	397	1022
280	398	1020
281	399	1017
282	400	1014
283	401	1011
284	401	1008
285	402	1005
286	403	1002
287	404	999
288	404	996
289	405	993
290	406	990
291	407	987
292	408	985
293	409	984
294	411	983
295	412	981
296	413	978
297	414	976
298	415	973
299	416	970
300	416	967
301	417	964
302	418	962
303	418	959
304	419	956
305	420	953
306	421	950
307	422	948
308	422	945
309	424	945
310	426	945
311	428	943
312	429	941
313	430	939
314	431	937
315	432	935
316	432	932
317	433	930
318	434	927
319	435	925
320	436	922
321	437	920
322	438	918
323	439	917
324	441	916
325	442	914
326	443	911
327	443	909
328	445	907
329	445	904
330	446	902
331	447	899
332	447	897
333	448	894
334	449	892
335	450	889
336	450	887
337	451	884
338	452	882
339	453	880
340	455	879
341	456	878
342	457	876
343	458	873
344	459	871
345	459	869
346	460	866
347	461	864
348	462	861
349	462	859
350	463	856
351	464	854
352	464	851
353	465	849
354	466	847
355	466	844
356	468	844
357	470	843
358	471	842
359	472	839
360	473	837
361	473	835
362	474	832
363	475	830
364	476	828
365	477	826
366	477	824
367	478	821
368	479	819
369	480	817
370	480	815
371	481	812
372	482	810
373	483	809
374	484	807
375	485	805
376	486	803
377	487	801
378	487	799
379	488	797
380	489	794
381	490	792
382	490	790
383	491	788
384	492	786
385	493	784
386	493	782
387	494	779
388	495	777
389	495	775
390	496	773
391	497	772
392	498	770
393	499	768
394	500	766
395	501	764
396	502	762
397	503	761
398	504	759
399	504	757
400	505	755
401	506	753
402	507	751
403	508	749
404	509	747
405	509	745
406	510	743
407	511	742
408	512	740
409	513	738
410	514	736
411	514	734
412	515	733
413	516	731
414	517	729
415	518	727
416	519	725
417	519	723
418	520	721
419	521	720
420	522	718
421	522	716
422	523	714
423	524	712
424	525	710
425	525	708
426	526	706
427	527	705
428	528	703
429	529	701
430	530	699
431	530	698
432	531	696
433	532	694
434	533	692
435	533	690
436	534	688
437	535	686
438	536	685
439	536	683
440	537	681
441	538	679
442	539	677
443	539	675
444	540	674
445	541	672
446	542	670
447	543	669
448	544	667
449	544	665
450	545	664
451	546	662
452	546	660
453	547	658
454	548	656
455	549	655
456	549	653
457	550	651
458	551	649
459	551	647
460	552	646
461	553	644
462	554	642
463	555	641
464	555	639
465	556	637
466	557	636
467	558	634
468	559	633
469	559	631
470	560	629
471	561	628
472	562	626
473	562	624
474	563	622
475	564	621
476	564	619
477	565	617
478	566	615
479	566	614
480	567	612
481	568	610
482	569	609
483	570	607
484	570	606
485	571	604
486	572	602
487	573	601
488	573	599
489	574	598
490	575	596
491	576	594
492	576	593
493	577	591
494	578	590
495	579	588
496	579	586
497	580	585
498	581	583
499	581	581
500	582	580
501	583	578
502	584	577
503	584	575
504	585	573
505	586	572
506	586	570
507	588	569
508	589	568
509	589	566
510	590	565
511	591	563
512	592	562
513	592	560
514	593	558
515	594	557
516	594	555
517	595	554
518	596	552
519	597	551
520	597	549
521	598	548
522	599	546
523	600	545
524	600	543
525	601	542
526	602	540
527	603	539
528	604	538
529	605	536
530	605	535
531	606	533
532	607	532
533	608	530
534	609	529
535	609	527
536	610	526
537	611	524
538	611	523
539	612	521
540	613	520
541	614	519
542	614	517
543	615	516
544	616	514
545	617	513
546	618	511
547	619	510
548	620	509
549	620	507
550	621	506
551	622	504
552	622	503
553	623	502
554	624	500
555	625	499
556	625	497
557	626	496
558	627	495
559	628	493
560	629	492
561	629	490
562	630	489
563	631	487
564	632	486
565	633	485
566	634	484
567	635	483
568	635	481
569	636	480
570	637	478
571	638	477
572	639	476
573	639	474
574	640	473
575	641	472
576	642	470
577	643	469
578	643	468
579	644	466
580	645	465
581	646	464
582	647	462
583	647	461
584	648	460
585	649	459
586	650	457
587	651	456
588	651	454
589	652	453
590	653	452
591	654	450
592	654	449
593	655	448
594	656	446
595	656	445
596	657	443
597	658	442
598	659	441
599	659	439
600	660	438
601	661	437
602	662	436
603	663	434
604	664	433
605	665	432
606	665	431
607	666	429
608	667	428
609	667	427
610	668	425
611	669	424
612	670	423
613	670	421
614	671	420
615	672	419
616	673	417
617	673	416
618	674	415
619	675	413
620	676	412
621	676	411
622	677	409
623	678	408
624	679	407
625	679	406
626	680	404
627	681	403
628	682	402
629	682	401
630	683	399
631	684	398
632	685	397
633	685	395
634	686	394
635	687	393
636	688	392
637	689	391
638	690	389
639	690	388
640	691	387
641	692	386
642	693	384
643	694	383
644	695	382
645	695	381
646	696	380
647	697	378
648	698	377
649	699	376
650	700	375
651	701	374
652	702	373
653	703	372
654	704	371
655	705	370
656	706	368
657	707	367
658	709	367
659	711	366
660	712	365
661	713	364
662	715	363
663	716	362
664	717	361
665	718	360
666	719	359
667	720	358
668	721	356
669	722	355
670	723	354
671	725	354
672	727	353
673	728	352
674	729	351
675	731	350
676	732	349
677	733	348
678	734	347
679	735	346
680	736	344
681	737	343
682	738	342
683	740	342
684	742	341
685	743	340
686	743	338
687	744	337
688	745	336
689	746	335
690	746	333
691	747	332
692	748	331
693	748	330
694	749	328
695	750	327
696	750	326
697	751	325
698	752	324
699	753	322
700	754	321
701	755	320
702	756	319
703	756	318
704	757	316
705	758	315
706	758	314
707	759	313
708	760	312
709	761	310
710	761	309
711	762	308
712	763	307
713	763	305
714	764	304
715	765	303
716	766	302
717	766	301
718	767	300
719	768	298
720	769	297
721	770	296
722	770	295
723	771	294
724	772	292
725	773	291
726	773	290
727	774	289
728	775	288
729	776	287
730	777	285
731	777	284
732	778	283
733	779	282
734	779	281
735	780	280
736	781	278
737	782	277
738	783	276
739	784	275
740	785	274
741	786	273
742	787	272
743	788	271
744	789	270
745	790	269
746	791	267
747	792	266
748	793	265
749	793	264
750	794	263
751	795	262
752	796	261
753	796	259
754	797	258
755	798	257
756	799	256
757	801	255
758	802	254
759	802	253
760	803	252
761	804	251
762	805	250
763	806	248
764	806	247
765	807	246
766	808	245
767	808	244
768	809	243
769	810	242
770	811	240
771	811	239
772	812	238
773	814	237
774	815	236
775	816	235
776	817	234
777	817	233
778	818	232
779	819	231
780	820	230
781	821	228
782	821	227
783	822	226
784	823	225
785	823	224
786	824	223
787	825	222
788	826	220
789	826	219
790	828	218
791	829	217
792	830	216
793	830	215
794	831	214
795	832	213
796	833	212
797	834	211
798	835	210
799	835	208
800	836	207
801	837	206
802	837	205
803	838	204
804	839	203
805	840	202
806	840	201
807	841	199
808	842	198
809	843	197
810	844	196
811	845	195
812	846	194
813	847	193
814	847	192
815	848	191
816	849	190
817	849	189
818	850	187
819	851	186
820	852	185
821	852	184
822	853	183
823	854	182
824	854	181
825	855	180
826	856	179
827	857	178
828	857	176
829	858	175
830	859	174
831	860	173
832	861	172
833	861	171
834	862	170
835	863	169
836	864	168
837	864	167
838	865	166
839	866	164
840	866	163
841	867	162
842	868	161
843	869	160
844	869	159
845	870	158
846	871	157
847	872	156
848	873	155
849	874	154
850	874	153
851	875	152
852	876	151
853	877	150
854	878	148
855	878	147
856	879	146
857	880	145
858	880	144
859	881	143
860	882	142
861	883	141
862	883	140
863	884	139
864	885	138
865	885	137
866	886	136
867	887	134
868	888	133
869	889	132
870	890	131
871	890	130
872	891	129
873	892	128
874	893	127
875	894	126
876	894	125
877	895	124
878	896	123
879	897	122
880	897	121
881	898	120
882	899	119
883	899	118
884	900	117
885	901	115
886	902	114
887	902	113
888	904	112
889	905	111
890	906	110
891	907	109
892	907	108
893	908	107
894	910	106
895	911	105
896	911	104
897	912	103
898	913	102
899	914	101
900	914	100
901	915	99
902	916	98
903	916	97
904	917	96
905	918	95
906	919	94
907	920	93
908	921	92
909	922	91
910	923	90
911	923	89
912	924	88
913	925	87
914	926	86
915	926	84
916	927	83
917	928	82
918	928	81
919	929	80
920	930	79
921	931	78
922	931	77
923	932	76
924	933	75
925	934	74
926	935	73
927	935	72
928	936	71
929	937	70
930	938	69
931	938	68
932	939	67
933	940	66
934	941	65
935	941	64
936	942	63
937	943	62
938	943	61
939	944	60
940	945	59
941	946	58
942	946	57
943	947	56
944	948	55
945	949	54
946	950	53
947	950	52
948	951	51
949	952	50
950	953	49
951	953	48
952	954	47
953	955	46
954	956	45
955	956	44
956	957	43
957	958	42
958	958	40
959	959	39
960	960	38
961	961	37
962	961	36
963	962	35
964	963	34
965	964	33
966	965	32
967	966	31
968	967	30
969	967	29
970	968	28
971	969	27
972	970	26
973	971	25
974	972	24
975	973	23
976	973	22
977	974	21
978	975	20
979	976	19
980	977	18
981	978	17
982	979	16
983	980	15
984	981	14
985	982	13
986	983	12
987	984	11
988	984	10
989	985	9
990	986	8
991	987	7
992	988	6
993	989	5
994	990	4
995	990	3
996	991	2
997	993	1
998	995	0
999	996	0
